Date,Hour,State Library,Collins Place (South),Collins Place (North),Flagstaff Station,Melbourne Central,Town Hall (West),Bourke Street Mall (North),Bourke Street Mall (South),Australia on Collins,Southern Cross Station,Victoria Point,New Quay,Waterfront City,Webb Bridge,Princes Bridge,Flinders St Station Underpass,Sandridge Bridge,Birrarung Marr,QV Market-Elizabeth (West),Flinders St-Elizabeth St (East),Spencer St-Collins St (North),Spencer St-Collins St (South),Bourke St-Russell St (West),Convention/Exhibition Centre,Chinatown-Swanston St (North),Chinatown-Lt Bourke St (South),QV Market-Peel St,Vic Arts Centre,Lonsdale St (South),Lygon St (West),Flinders St-Spring St (West)
01/07/2014,0,59,16,11,11,192,94,32,18,0,7,2,3,3,4,76,79,20,0,62,91,18,5,96,234,67,39,16,36,66,23,6
01/07/2014,1,37,6,4,24,43,38,18,15,0,7,1,0,2,2,38,55,25,0,53,41,3,4,76,1,36,11,13,3,52,11,3
01/07/2014,2,17,8,1,7,15,18,10,8,0,1,6,3,0,2,17,12,5,0,17,27,9,3,49,7,8,6,1,5,31,7,3
01/07/2014,3,22,8,5,0,26,11,13,5,0,2,4,0,0,0,30,6,9,0,20,33,5,2,32,4,16,5,1,24,33,3,3
01/07/2014,4,14,5,2,10,22,33,16,15,0,3,4,0,0,2,43,37,43,0,17,63,13,2,39,8,12,12,4,49,46,8,5
01/07/2014,5,30,54,34,121,103,72,41,18,0,89,18,12,4,28,87,97,64,3,63,129,112,24,34,35,30,7,9,80,15,1,14
01/07/2014,6,56,256,208,710,144,168,90,72,0,386,85,37,22,123,283,479,247,8,131,431,514,105,77,133,27,21,28,273,45,17,54
01/07/2014,7,307,660,641,2333,298,509,278,267,0,1496,228,130,49,288,661,1164,447,17,231,1182,1328,423,145,323,69,52,71,489,128,60,184
01/07/2014,8,642,1557,1368,4400,663,975,720,629,0,2773,314,211,85,385,1241,1800,886,21,409,2225,2399,794,244,473,132,117,113,1186,239,131,396
01/07/2014,9,390,794,592,1274,708,1021,863,655,0,913,138,91,39,116,835,637,298,44,629,1312,1133,440,209,236,178,87,112,729,213,122,184
01/07/2014,10,492,462,399,720,863,1393,962,1010,0,386,152,87,46,95,813,740,295,17,765,1199,916,270,283,270,291,212,159,964,289,141,123
01/07/2014,11,842,575,355,615,1215,2089,1447,1759,0,405,199,130,72,155,1032,894,293,34,1055,1556,830,326,482,350,494,309,193,872,548,163,130
01/07/2014,12,1457,1095,474,923,1943,3466,2597,2899,0,961,275,330,156,460,1507,1268,438,47,1561,2319,1520,457,1070,595,765,615,233,1320,1006,330,216
01/07/2014,13,1464,974,484,949,2138,3460,2987,2683,0,794,250,305,154,318,1428,1325,463,81,1390,2541,1288,511,1023,612,849,463,200,1287,988,361,179
01/07/2014,14,1292,579,437,704,2100,2957,2098,2259,0,489,135,200,98,144,1340,1115,399,61,892,2476,997,338,667,484,823,346,152,944,732,298,138
01/07/2014,15,1367,553,567,1117,2510,2683,2062,2131,0,573,198,132,68,128,1079,1092,441,40,579,2157,1396,307,683,527,744,344,118,780,635,242,171
01/07/2014,16,1579,528,710,2042,1759,2851,2077,2181,0,1562,295,226,99,291,1426,1419,621,60,369,2499,2211,412,685,579,840,338,117,1279,608,207,276
01/07/2014,17,1676,947,1179,2744,1969,2835,2252,1816,0,2088,317,350,171,562,2036,2063,1137,46,422,3234,2759,595,853,881,807,507,144,1390,712,299,347
01/07/2014,18,1448,632,536,1085,1937,1784,1539,878,0,812,271,505,137,256,1289,1120,598,29,372,2136,1513,338,697,379,924,611,132,836,748,379,150
01/07/2014,19,839,252,156,278,1752,1201,555,351,0,318,120,201,70,92,616,620,281,12,263,1248,698,169,634,209,863,576,64,395,586,370,58
01/07/2014,20,753,208,118,116,1279,901,335,294,0,105,67,138,46,58,699,466,214,11,208,990,446,90,497,132,724,384,66,478,509,344,47
01/07/2014,21,517,101,56,108,909,793,239,229,0,84,200,498,66,72,494,431,216,12,180,686,522,162,434,103,543,383,54,264,378,272,32
01/07/2014,22,414,124,39,57,834,522,188,140,0,47,88,85,32,12,410,285,160,5,106,601,238,106,334,114,346,269,37,220,388,191,24
01/07/2014,23,128,38,30,46,435,222,72,52,0,16,20,15,7,12,211,200,128,3,90,378,60,60,181,37,166,97,29,70,164,115,7
02/07/2014,0,63,30,6,26,174,92,26,58,0,4,7,4,1,3,63,67,37,1,59,118,21,8,89,32,71,55,14,33,91,63,3
02/07/2014,1,42,10,1,7,49,58,13,11,0,3,1,3,2,0,40,27,20,1,30,39,11,11,69,25,39,37,11,20,89,48,3
02/07/2014,2,11,6,10,5,35,32,6,18,0,0,3,6,1,0,39,20,12,0,25,29,10,12,51,3,26,35,9,12,54,15,1
02/07/2014,3,10,1,1,11,15,29,11,5,0,1,2,2,1,1,27,6,2,0,22,31,8,10,31,8,8,14,5,17,79,0,1
02/07/2014,4,15,7,4,6,33,43,10,5,0,10,8,2,1,2,38,23,43,0,15,42,7,21,49,12,9,3,1,31,55,12,2
02/07/2014,5,15,86,29,114,93,83,22,24,0,51,5,11,4,28,77,80,70,2,37,104,54,33,42,30,15,13,14,62,19,3,14
02/07/2014,6,75,172,154,765,154,183,84,59,0,402,83,53,25,130,286,417,224,20,89,484,305,131,77,186,23,28,19,287,52,5,63
02/07/2014,7,266,694,677,2432,308,485,266,216,0,1477,185,166,69,292,696,995,467,34,219,1157,893,442,125,362,63,75,78,688,129,70,221
02/07/2014,8,557,1644,1399,4041,661,862,616,558,0,2785,291,200,103,399,1451,1942,830,29,392,2153,1895,886,249,457,167,107,142,1381,272,125,366
02/07/2014,9,341,844,519,1410,771,1081,678,646,0,947,179,123,48,148,1077,730,244,28,340,1103,864,325,264,272,236,132,90,1026,218,139,203
02/07/2014,10,584,592,399,639,1015,1653,1116,1265,0,377,151,163,76,108,953,703,265,38,392,1389,657,367,327,337,330,206,95,903,344,159,109
02/07/2014,11,820,558,345,694,1334,2593,1755,2092,0,446,208,235,93,192,1616,1015,334,101,560,1700,648,326,550,492,540,340,179,1598,534,175,139
02/07/2014,12,1423,1384,595,1062,2032,3651,2824,3604,0,1038,304,403,189,579,2062,1796,558,172,1022,2527,1123,579,1206,779,845,603,240,2088,1049,370,249
02/07/2014,13,1518,1040,542,889,2326,3216,3087,3106,0,856,259,390,226,352,1805,1406,514,120,803,2759,1043,488,946,653,947,570,155,1522,959,459,226
02/07/2014,14,1291,692,398,755,2224,3152,2255,2877,0,517,162,258,114,195,1771,1224,533,115,592,2060,730,321,710,633,873,407,132,1659,717,307,212
02/07/2014,15,1431,479,567,1057,2003,3138,2339,2614,0,671,184,237,129,194,1570,1213,496,179,493,2268,1002,338,767,645,770,401,119,1221,587,247,164
02/07/2014,16,1490,559,731,2169,1839,2978,2155,2463,0,1489,262,248,118,288,1732,1492,738,63,456,2695,1556,430,739,683,644,404,125,1386,661,210,285
02/07/2014,17,1806,1062,1220,2628,2272,3094,2394,2186,0,2049,307,258,81,511,2318,1938,1193,57,472,3491,2180,532,1000,894,791,473,153,1691,784,303,338
02/07/2014,18,1173,562,560,949,2055,1988,1801,1097,0,806,191,189,97,303,1508,1160,625,50,380,2411,1109,282,747,388,986,669,128,1110,845,351,184
02/07/2014,19,904,393,207,336,1886,1338,657,421,0,239,133,166,70,88,831,785,301,17,276,1325,516,147,738,204,870,588,87,757,730,366,87
02/07/2014,20,862,214,104,159,1365,1002,366,285,0,96,87,139,77,53,604,545,230,14,220,1009,399,127,596,87,682,534,66,262,582,514,46
02/07/2014,21,558,121,79,96,1017,787,238,215,0,80,57,96,36,48,673,391,231,70,174,822,237,84,490,140,389,359,53,537,438,354,48
02/07/2014,22,437,165,74,77,797,530,175,158,0,50,29,46,18,19,406,343,174,6,157,747,176,84,403,63,319,335,48,265,359,193,49
02/07/2014,23,115,52,40,34,358,263,51,66,0,25,12,29,15,14,222,210,152,0,62,342,103,29,206,46,149,136,14,146,200,138,22
03/07/2014,0,45,24,11,18,168,121,28,49,0,8,6,10,4,5,82,77,42,1,49,138,30,10,104,11,98,61,12,37,98,36,5
03/07/2014,1,39,10,6,4,62,53,26,13,0,6,2,6,2,0,24,44,9,0,25,35,15,4,61,8,26,16,3,26,75,31,1
03/07/2014,2,21,7,1,3,42,24,6,12,0,1,9,3,0,8,19,24,4,0,35,24,22,4,56,5,27,0,11,6,27,10,0
03/07/2014,3,20,6,0,9,37,21,11,11,0,1,2,1,0,1,20,7,3,0,28,36,5,0,36,3,12,13,1,22,31,2,5
03/07/2014,4,12,12,0,13,39,51,11,7,0,8,4,3,0,4,40,14,30,0,20,31,15,1,40,6,5,4,5,46,24,7,2
03/07/2014,5,37,57,38,137,51,85,35,21,0,39,11,8,2,32,84,107,84,0,82,145,158,24,41,61,28,8,14,114,34,3,27
03/07/2014,6,90,207,129,738,251,213,90,79,0,410,98,44,21,121,320,497,229,9,151,561,577,120,112,130,23,27,27,398,68,12,54
03/07/2014,7,260,771,665,2358,359,517,286,255,0,1543,216,177,51,296,688,895,479,27,254,1257,1575,440,151,334,75,49,95,631,155,73,178
03/07/2014,8,589,1635,1438,4045,718,857,672,515,0,2894,341,197,78,404,1406,1905,868,48,451,2367,2620,803,257,406,170,112,151,1348,265,154,374
03/07/2014,9,356,798,594,1345,721,973,761,594,0,992,246,113,35,138,860,934,252,15,524,1169,1261,324,228,252,168,106,130,1206,281,110,184
03/07/2014,10,539,535,413,734,933,1734,1200,1141,0,405,127,89,45,127,1032,920,322,55,839,1439,968,315,374,375,325,219,209,1280,386,165,151
03/07/2014,11,837,598,368,797,1376,2535,1789,1954,0,430,232,183,110,178,1490,951,397,78,1179,1720,1113,331,542,438,438,295,242,1537,530,195,128
03/07/2014,12,1415,1388,538,1055,2096,2914,2989,3366,0,1038,357,342,189,562,2047,1766,575,294,1743,2654,1691,571,1263,807,798,559,250,1992,1048,335,218
03/07/2014,13,1545,1175,562,859,2442,3497,3243,3123,0,932,281,203,124,379,1988,1723,466,251,1405,2824,1518,445,963,614,957,563,253,1519,1053,306,191
03/07/2014,14,1259,672,483,723,2190,3089,2344,2626,0,563,130,194,105,169,1628,1293,476,96,885,2249,1165,343,738,595,863,437,210,1656,693,282,162
03/07/2014,15,1261,505,474,1056,1819,3234,2288,2484,0,676,145,164,114,196,1553,1326,489,165,627,2459,1675,356,768,682,748,339,173,1492,562,292,186
03/07/2014,16,1418,626,717,2134,1901,3101,2362,2462,0,1514,281,178,62,282,1683,1294,733,83,441,2763,1022,402,861,719,699,348,138,1374,683,178,264
03/07/2014,17,1487,1074,1182,2095,2146,2625,2619,1823,0,2016,286,169,71,612,2081,1927,1143,40,418,3500,1520,492,850,773,821,493,136,1662,773,308,280
03/07/2014,18,987,586,538,894,1888,2077,1729,1263,0,747,157,88,55,233,1230,1167,559,13,298,1940,834,209,770,363,914,723,127,1235,830,372,192
03/07/2014,19,813,245,181,318,1551,1517,1079,777,0,238,107,84,35,82,892,773,263,9,237,1440,316,133,717,153,866,781,78,1277,745,405,80
03/07/2014,20,665,185,97,154,1190,1278,867,639,0,111,85,51,23,58,559,456,230,1,229,1147,212,119,685,114,884,413,81,385,632,422,55
